url_length,hostname_length,count.,count-digits,count-,count@,count%,subdomain_count,suspicious_tld,use_of_ip,has_https,path_length,fd_length,path_depth,query_param_count,tld_in_path,double_extension,has_fragment,short_url,phish_keyword,target,url
61,12,2,0,5,0,0,0,0,0,1,41,3,2,0,0,0,0,0,0,0,https://www.yelp.com/biz/stone-mountain-clay-and-glaze-tucker
38,29,3,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,https://www.ivanhill5478.blogspot.com/
56,16,2,10,1,0,0,0,0,0,1,32,6,3,0,0,0,0,0,0,0,https://www.facebook.com/people/Reggie-Walton/1070104441
79,45,6,1,0,0,0,3,0,0,1,26,8,3,0,0,0,0,0,1,0,https://www.freepages.genealogy.rootsweb.ancestry.com/~dwdrury/abell/index3.htm
61,18,3,0,0,0,0,0,0,0,1,35,9,3,0,0,0,0,0,0,0,https://www.manchester.edu/Athletics/basketballm/moreNews.htm
27,18,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,https://www.isca-louis.com/
63,15,3,4,1,0,0,1,0,0,1,40,3,7,0,0,0,0,0,0,0,https://www.espn.go.com/nfl/player/stats/_/id/1884/aaron-brooks
37,20,3,0,0,0,0,1,0,0,1,9,4,2,0,0,0,0,0,0,0,https://www.en.wikipedia.org/wiki/Ico
95,22,3,14,5,0,0,0,0,0,1,65,4,4,0,0,0,0,0,0,0,https://www.huffingtonpost.com/2011/10/06/ritch-workman-florida-dwarf-tossing-law_n_998155.html
37,21,2,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,https://www.nesoccertoday.com/?p=6721
45,12,2,7,0,0,0,0,0,0,1,25,5,3,0,1,0,0,0,0,0,https://www.imdb.com/title/tt0045152/combined
43,15,2,2,1,0,0,0,0,0,1,6,5,1,1,0,0,0,0,0,0,https://www.youtube.com/watch?v=ZKc9-nLJY8s
43,21,3,1,0,0,0,1,0,0,1,14,13,1,0,0,0,0,0,0,0,https://www.video.agaclip.com/w=KC6rQevzHry
